丁,秨絃基,程蔼基,程基,Μ絃基,Θユ秖
1990/1/2,1.3304,1.3393,1.25,1.3304,45.80M
1990/1/3,1.3393,1.3571,1.3393,1.3393,52.00M
1990/1/4,1.3437,1.3839,1.3304,1.3437,55.38M
1990/1/5,1.3482,1.3661,1.3214,1.3482,30.83M
1990/1/8,1.3571,1.3571,1.3214,1.3571,25.39M
1990/1/9,1.3437,1.3571,1.3214,1.3437,21.53M
1990/1/10,1.2857,1.3437,1.2768,1.2857,49.93M
1990/1/11,1.2321,1.2946,1.2321,1.2321,52.76M
1990/1/12,1.2321,1.2411,1.2054,1.2321,42.97M
1990/1/15,1.2232,1.2768,1.2232,1.2232,40.43M
1990/1/16,1.2455,1.25,1.1696,1.2455,53.56M
1990/1/17,1.1875,1.2411,1.1786,1.1875,49.32M
1990/1/18,1.1562,1.1964,1.1518,1.1562,68.32M
1990/1/19,1.2232,1.2321,1.1964,1.2232,66.28M
1990/1/22,1.1875,1.2321,1.1875,1.1875,36.40M
1990/1/23,1.2054,1.2232,1.1786,1.2054,35.22M
1990/1/24,1.2143,1.2232,1.1518,1.2143,42.45M
1990/1/25,1.2187,1.2411,1.2143,1.2187,27.89M
1990/1/26,1.1696,1.2143,1.1518,1.1696,45.31M
1990/1/29,1.1875,1.1964,1.1473,1.1875,29.98M
1990/1/30,1.2143,1.2321,1.1786,1.2143,29.11M
1990/1/31,1.2143,1.2411,1.1786,1.2143,35.99M
1990/2/1,1.2009,1.2366,1.1964,1.2009,29.27M
1990/2/2,1.2232,1.2411,1.1875,1.2232,29.62M
1990/2/5,1.25,1.2589,1.2143,1.25,25.44M
1990/2/6,1.2411,1.25,1.2143,1.2411,18.52M
1990/2/7,1.1875,1.2143,1.1607,1.1875,78.11M
1990/2/8,1.1786,1.1964,1.1518,1.1786,46.66M
1990/2/9,1.2232,1.2321,1.1875,1.2232,42.02M
1990/2/12,1.2143,1.2321,1.2054,1.2143,18.73M
1990/2/13,1.2321,1.25,1.2054,1.2321,25.54M
1990/2/14,1.2232,1.2411,1.2054,1.2232,24.02M
1990/2/15,1.2232,1.2232,1.1964,1.2232,24.49M
1990/2/16,1.2054,1.2321,1.2054,1.2054,31.80M
1990/2/20,1.1964,1.2054,1.1786,1.1964,30.81M
1990/2/21,1.2143,1.2232,1.1607,1.2143,43.98M
1990/2/22,1.1786,1.2321,1.1786,1.1786,48.80M
1990/2/23,1.1875,1.1964,1.1696,1.1875,37.49M
1990/2/26,1.2143,1.2232,1.1786,1.2143,19.90M
1990/2/27,1.1964,1.2232,1.1964,1.1964,18.49M
1990/2/28,1.2143,1.2143,1.1875,1.2143,27.33M
1990/3/1,1.2232,1.2411,1.1875,1.2232,50.97M
1990/3/2,1.2054,1.2411,1.1875,1.2054,26.22M
1990/3/5,1.2321,1.2411,1.1964,1.2321,45.62M
1990/3/6,1.2589,1.2589,1.2321,1.2589,39.00M
1990/3/7,1.2634,1.2857,1.25,1.2634,51.06M
1990/3/8,1.3125,1.3214,1.25,1.3125,55.96M
1990/3/9,1.317,1.3393,1.2946,1.317,57.62M
1990/3/12,1.308,1.3393,1.2946,1.308,40.99M
